Date,Abs Pres (psi) c:1 2,Temp (°F) c:2,Coupler Detached,Coupler Attached,Host Connected,Stopped,End Of File
7/20/2016 16:00,14.8511,77.749,,,,,
7/20/2016 16:15,14.8535,77.749,,,,,
7/20/2016 16:30,14.8535,77.749,,,,,
7/20/2016 16:45,14.8529,77.574,,,,,
7/20/2016 17:00,14.8506,77.574,,,,,
7/20/2016 17:15,14.8506,77.574,,,,,
7/20/2016 17:30,14.8546,77.4,,,,,
7/20/2016 17:45,14.8546,77.4,,,,,
7/20/2016 18:00,14.8523,77.4,,,,,
7/20/2016 18:15,14.8494,77.225,,,,,
7/20/2016 18:30,14.854,77.225,,,,,
7/20/2016 18:45,14.8535,77.05,,,,,
7/20/2016 19:00,14.8604,77.05,,,,,
7/20/2016 19:15,14.8627,77.05,,,,,
7/20/2016 19:30,14.9064,76.876,,,,,
7/20/2016 19:45,14.9398,77.05,,,,,
7/20/2016 20:00,14.9514,77.05,,,,,
7/20/2016 20:15,14.9461,76.876,,,,,
7/20/2016 20:30,14.9292,76.703,,,,,
7/20/2016 20:45,14.9245,76.703,,,,,
7/20/2016 21:00,14.9129,76.703,,,,,
7/20/2016 21:15,14.9035,76.703,,,,,
7/20/2016 21:30,14.9006,76.528,,,,,
7/20/2016 21:45,14.896,76.528,,,,,
7/20/2016 22:00,14.8936,76.528,,,,,
7/20/2016 22:15,14.8867,76.528,,,,,
7/20/2016 22:30,14.8867,76.528,,,,,
7/20/2016 22:45,14.8867,76.528,,,,,
7/20/2016 23:00,14.8842,76.528,,,,,
7/20/2016 23:15,14.8819,76.528,,,,,
7/20/2016 23:30,14.8772,76.528,,,,,
7/20/2016 23:45,14.8819,76.528,,,,,
7/21/2016 0:00,14.879,76.354,,,,,
7/21/2016 0:15,14.8772,76.528,,,,,
7/21/2016 0:30,14.8743,76.354,,,,,
7/21/2016 0:45,14.8743,76.354,,,,,
7/21/2016 1:00,14.8743,76.354,,,,,
7/21/2016 1:15,14.8674,76.354,,,,,
7/21/2016 1:30,14.8674,76.354,,,,,
7/21/2016 1:45,14.8674,76.354,,,,,
7/21/2016 2:00,14.8674,76.354,,,,,
7/21/2016 2:15,14.8651,76.354,,,,,
7/21/2016 2:30,14.8651,76.354,,,,,
7/21/2016 2:45,14.8627,76.354,,,,,
7/21/2016 3:00,14.8627,76.354,,,,,
7/21/2016 3:15,14.8604,76.354,,,,,
7/21/2016 3:30,14.8604,76.354,,,,,
