Date/Time,"Abs Pres, psi","Temp, °F",Coupler Detached,Coupler Attached,Host Connected,Stopped,End Of File
1/27/2018 21:45,14.8107,76.876,,,,,
1/27/2018 22:00,14.8156,76.876,,,,,
1/27/2018 22:15,14.8156,76.876,,,,,
1/27/2018 22:30,14.8179,76.876,,,,,
1/27/2018 22:45,14.8131,76.876,,,,,
1/27/2018 23:00,14.8156,76.876,,,,,
1/27/2018 23:15,14.8204,76.876,,,,,
1/27/2018 23:30,14.8259,77.05,,,,,
1/27/2018 23:45,14.8253,76.876,,,,,
1/28/2018 0:00,14.8229,76.876,,,,,
1/28/2018 0:15,14.8179,76.876,,,,,
1/28/2018 0:30,14.8156,76.876,,,,,
1/28/2018 0:45,14.8057,76.876,,,,,
1/28/2018 1:00,14.796,76.876,,,,,
1/28/2018 1:15,14.801,76.876,,,,,
1/28/2018 1:30,14.7979,76.703,,,,,
1/28/2018 1:45,14.7905,76.703,,,,,
1/28/2018 2:00,14.7886,76.876,,,,,
1/28/2018 2:15,14.7838,76.876,,,,,
1/28/2018 2:30,14.7814,76.876,,,,,
1/28/2018 2:45,14.7789,76.876,,,,,
1/28/2018 3:00,14.774,76.876,,,,,
1/28/2018 3:15,14.774,76.876,,,,,
1/28/2018 3:30,14.7764,76.876,,,,,
1/28/2018 3:45,14.774,76.876,,,,,
1/28/2018 4:00,14.7764,76.876,,,,,
1/28/2018 4:15,14.774,76.876,,,,,
1/28/2018 4:30,14.774,76.876,,,,,
1/28/2018 4:45,14.7692,76.876,,,,,
1/28/2018 5:00,14.7717,76.876,,,,,
1/28/2018 5:15,14.7764,76.876,,,,,
1/28/2018 5:30,14.7764,76.876,,,,,
1/28/2018 5:45,14.7764,76.876,,,,,
1/28/2018 6:00,14.7838,76.876,,,,,
1/28/2018 6:15,14.7814,76.876,,,,,
1/28/2018 6:30,14.8057,76.876,,,,,
1/28/2018 6:45,14.8082,76.876,,,,,
1/28/2018 7:00,14.8088,77.05,,,,,
1/28/2018 7:15,14.8063,77.05,,,,,
1/28/2018 7:30,14.8069,77.225,,,,,
1/28/2018 7:45,14.8075,77.4,,,,,
1/28/2018 8:00,14.8105,77.574,,,,,
1/28/2018 8:15,14.8062,77.749,,,,,
1/28/2018 8:30,14.8043,77.923,,,,,
1/28/2018 8:45,14.8091,77.923,,,,,
1/28/2018 9:00,14.8097,78.098,,,,,
1/28/2018 9:15,14.8139,78.624,,,,,
1/28/2018 9:30,14.8095,78.8,,,,,
1/28/2018 9:45,14.8065,78.624,,,,,
1/28/2018 10:00,14.8046,78.8,,,,,
1/28/2018 10:15,14.8052,78.975,,,,,
1/28/2018 10:30,14.8027,78.975,,,,,
1/28/2018 10:45,14.7989,79.326,,,,,
1/28/2018 11:00,14.802,79.502,,,,,
1/28/2018 11:15,14.8063,79.326,,,,,
1/28/2018 11:30,14.8229,79.151,,,,,
1/28/2018 11:45,14.8337,79.502,,,,,
1/28/2018 12:00,14.835,79.151,,,,,
1/28/2018 12:15,14.8504,78.624,,,,,
1/28/2018 12:30,14.8597,78.449,,,,,
1/28/2018 12:45,14.8542,78.274,,,,,
1/28/2018 13:00,14.8517,78.274,,,,,
1/28/2018 13:15,14.8542,78.274,,,,,
1/28/2018 13:30,14.8517,78.274,,,,,
1/28/2018 13:45,14.842,78.274,,,,,
1/28/2018 14:00,14.8347,78.274,,,,,
1/28/2018 14:15,14.8317,78.098,,,,,
1/28/2018 14:30,14.8249,78.274,,,,,
1/28/2018 14:45,14.8236,78.624,,,,,
1/28/2018 15:00,14.8169,78.8,,,,,
1/28/2018 15:15,14.8179,79.151,,,,,
1/28/2018 15:30,14.8107,79.151,,,,,
1/28/2018 15:45,14.8095,78.8,,,,,
1/28/2018 16:00,14.8065,78.624,,,,,
1/28/2018 16:15,14.8108,78.449,,,,,
1/28/2018 16:30,14.8084,78.449,,,,,
1/28/2018 16:45,14.803,78.274,,,,,
1/28/2018 17:00,14.803,78.274,,,,,
1/28/2018 17:15,14.8097,78.098,,,,,
1/28/2018 17:30,14.8146,78.098,,,,,
1/28/2018 17:45,14.8165,77.923,,,,,
1/28/2018 18:00,14.8165,77.923,,,,,
1/28/2018 18:15,14.8208,77.749,,,,,
1/28/2018 18:30,14.8159,77.749,,,,,
1/28/2018 18:45,14.8184,77.749,,,,,
1/28/2018 19:00,14.8178,77.574,,,,,
1/28/2018 19:15,14.8202,77.574,,,,,
1/28/2018 19:30,14.8202,77.574,,,,,
1/28/2018 19:45,14.8294,77.4,,,,,
1/28/2018 20:00,14.8221,77.4,,,,,
1/28/2018 20:15,14.8271,77.4,,,,,
1/28/2018 20:30,14.8246,77.4,,,,,
1/28/2018 20:45,14.8271,77.4,,,,,
1/28/2018 21:00,14.8265,77.225,,,,,
1/28/2018 21:15,14.8313,77.225,,,,,
1/28/2018 21:30,14.8288,77.225,,,,,
1/28/2018 21:45,14.8288,77.225,,,,,
1/28/2018 22:00,14.824,77.225,,,,,
1/28/2018 22:15,14.8288,77.225,,,,,
1/28/2018 22:30,14.8288,77.225,,,,,
1/28/2018 22:45,14.8288,77.225,,,,,
1/28/2018 23:00,14.8288,77.225,,,,,
