Date/Time,Abs Pres (psi) c:1 2,Temp (°F) c:2,Coupler Detached,Coupler Attached,Host Connected,End Of File
4/13/2016 17:00,14.965,78.8,,,,
4/13/2016 17:15,14.9778,78.8,,,,
4/13/2016 17:30,14.9815,78.624,,,,
4/13/2016 17:45,14.9708,78.624,,,,
4/13/2016 18:00,14.9773,78.624,,,,
4/13/2016 18:15,14.973,78.624,,,,
4/13/2016 18:30,14.9688,78.624,,,,
4/13/2016 18:45,14.9596,78.449,,,,
4/13/2016 19:00,14.966,78.449,,,,
4/13/2016 19:15,14.9708,78.624,,,,
4/13/2016 19:30,15.0564,78.624,,,,
4/13/2016 19:45,15.1463,78.624,,,,
4/13/2016 20:00,15.2314,78.449,,,,
4/13/2016 20:15,15.2886,78.274,,,,
4/13/2016 20:30,15.1944,78.274,,,,
4/13/2016 20:45,15.173,78.274,,,,
4/13/2016 21:00,15.1628,78.449,,,,
4/13/2016 21:15,15.1393,78.449,,,,
4/13/2016 21:30,15.1628,78.449,,,,
4/13/2016 21:45,15.1543,78.449,,,,
4/13/2016 22:00,15.1377,78.624,,,,
4/13/2016 22:15,15.1586,78.449,,,,
4/13/2016 22:30,15.1714,78.449,,,,
4/13/2016 22:45,15.1928,78.449,,,,
4/13/2016 23:00,15.2249,78.449,,,,
4/13/2016 23:15,15.2142,78.449,,,,
4/13/2016 23:30,15.2078,78.449,,,,
4/13/2016 23:45,15.1779,78.449,,,,
4/14/2016 0:00,15.1543,78.449,,,,
4/14/2016 0:15,15.1521,78.449,,,,
4/14/2016 0:30,15.135,78.449,,,,
4/14/2016 0:45,15.1264,78.449,,,,
4/14/2016 1:00,15.1073,78.449,,,,
4/14/2016 1:15,15.0987,78.449,,,,
4/14/2016 1:30,15.0794,78.449,,,,
4/14/2016 1:45,15.0751,78.449,,,,
4/14/2016 2:00,15.0665,78.449,,,,
4/14/2016 2:15,15.043,78.449,,,,
4/14/2016 2:30,15.0452,78.449,,,,
4/14/2016 2:45,15.0237,78.449,,,,
4/14/2016 3:00,15.0195,78.449,,,,
4/14/2016 3:15,15.0131,78.449,,,,
4/14/2016 3:30,15.011,78.449,,,,
4/14/2016 3:45,15.0024,78.449,,,,
4/14/2016 4:00,15.0002,78.449,,,,
4/14/2016 4:15,14.9917,78.449,,,,
4/14/2016 4:30,14.9853,78.449,,,,
4/14/2016 4:45,14.9809,78.449,,,,
4/14/2016 5:00,14.9746,78.449,,,,
4/14/2016 5:15,14.9704,78.449,,,,
4/14/2016 5:30,14.9724,78.449,,,,
4/14/2016 5:45,14.9704,78.449,,,,
4/14/2016 6:00,14.9704,78.449,,,,
4/14/2016 6:15,14.9704,78.449,,,,
4/14/2016 6:30,14.9682,78.449,,,,
4/14/2016 6:45,14.9682,78.449,,,,
4/14/2016 7:00,14.966,78.449,,,,
4/14/2016 7:15,14.966,78.449,,,,
4/14/2016 7:30,14.958,78.624,,,,
4/14/2016 7:45,14.958,78.624,,,,
4/14/2016 8:00,14.9559,78.624,,,,
4/14/2016 8:15,14.9586,78.8,,,,
4/14/2016 8:30,14.9564,78.8,,,,
4/14/2016 8:45,14.9548,78.975,,,,
4/14/2016 9:00,14.9527,78.975,,,,
4/14/2016 9:15,14.9527,78.975,,,,
4/14/2016 9:30,14.9511,79.151,,,,
4/14/2016 9:45,14.9469,79.151,,,,
4/14/2016 10:00,14.9453,79.326,,,,
4/14/2016 10:15,14.949,79.151,,,,
4/14/2016 10:30,14.9939,79.151,,,,
4/14/2016 10:45,15.1464,79.326,,,,
4/14/2016 11:00,15.3214,79.151,,,,
4/14/2016 11:15,15.2662,78.624,,,,
4/14/2016 11:30,15.2512,78.624,,,,
4/14/2016 11:45,15.1913,78.624,,,,
4/14/2016 12:00,15.1612,78.624,,,,
4/14/2016 12:15,15.1399,78.624,,,,
4/14/2016 12:30,15.1142,78.624,,,,
4/14/2016 12:45,15.1105,78.8,,,,
4/14/2016 13:00,15.0934,78.8,,,,
4/14/2016 13:15,15.1019,78.8,,,,
4/14/2016 13:30,15.0977,78.8,,,,
4/14/2016 13:45,15.0741,78.8,,,,
4/14/2016 14:00,15.0677,78.8,,,,
4/14/2016 14:15,15.0564,78.624,,,,
4/14/2016 14:30,15.0436,78.624,,,,
4/14/2016 14:45,15.0436,78.624,,,,
4/14/2016 15:00,15.0601,78.449,,,,
4/14/2016 15:15,15.0366,78.449,,,,
4/14/2016 15:30,15.0323,78.449,,,,
4/14/2016 15:45,15.0281,78.449,,,,
4/14/2016 16:00,15.0217,78.449,,,,
4/14/2016 16:15,15.011,78.449,,,,
4/14/2016 16:30,15.0281,78.449,,,,
4/14/2016 16:45,15.0237,78.449,,,,
4/14/2016 17:00,15.1067,78.274,,,,
4/14/2016 17:15,15.288,78.098,,,,
4/14/2016 17:30,15.4412,77.749,,,,
4/14/2016 17:45,15.3057,77.574,,,,
4/14/2016 18:00,15.2484,77.749,,,,
4/14/2016 18:15,15.2206,77.749,,,,
4/14/2016 18:30,15.2013,77.749,,,,
4/14/2016 18:45,15.2062,77.923,,,,
4/14/2016 19:00,15.172,77.923,,,,
4/14/2016 19:15,15.1612,77.923,,,,
4/14/2016 19:30,15.1569,77.923,,,,
4/14/2016 19:45,15.1419,77.923,,,,
4/14/2016 20:00,15.1361,78.098,,,,
4/14/2016 20:15,15.1168,78.098,,,,
4/14/2016 20:30,15.1083,78.098,,,,
4/14/2016 20:45,15.1061,78.098,,,,
4/14/2016 21:00,15.1003,78.274,,,,
4/14/2016 21:15,15.0918,78.274,,,,
4/14/2016 21:30,15.0745,78.274,,,,
