"TOA5","1417_Afono","CR350","5663","CR350-CELL205.Std.01.04","CPU:Samoa Mesonet_stream gauge_v04p1.CRB","55812","MetData"
"TIMESTAMP","RECORD","Wlvl_Avg","Twt_Avg","RF_Tot"
"TS","RN","m","°C","mm"
"","","Avg","Avg","Tot"
"2024-05-20 07:50:00",0,0.047,26.63,0
"2024-05-20 07:55:00",1,0.047,26.58,0
"2024-05-20 08:00:00",2,0.047,26.58,0
"2024-05-20 08:05:00",3,0.046,26.58,0
"2024-05-20 08:10:00",4,0.046,26.58,0
"2024-05-20 08:15:00",5,0.046,26.58,0
"2024-05-20 08:20:00",6,0.046,26.58,0
"2024-05-20 08:25:00",7,0.046,26.58,0
"2024-05-20 08:30:00",8,0.046,26.59,0
"2024-05-20 08:35:00",9,0.046,26.59,0
"2024-05-20 08:40:00",10,0.046,26.59,0
"2024-05-20 08:45:00",11,0.046,26.6,0
"2024-05-20 08:50:00",12,0.046,26.62,0
"2024-05-20 08:55:00",13,0.046,26.63,0
"2024-05-20 09:00:00",14,0.046,26.64,0
"2024-05-20 09:05:00",15,0.046,26.65,0
"2024-05-20 09:10:00",16,0.046,26.66,0
"2024-05-20 09:15:00",17,0.046,26.68,0
"2024-05-20 09:20:00",18,0.046,26.69,0
"2024-05-20 09:25:00",19,0.046,26.7,0
"2024-05-20 09:30:00",20,0.046,26.71,0
"2024-05-20 09:35:00",21,0.046,26.72,0
"2024-05-20 09:40:00",22,0.046,26.73,0
"2024-05-20 09:45:00",23,0.046,26.73,0
"2024-05-20 09:50:00",24,0.046,26.74,0
"2024-05-20 09:55:00",25,0.045,26.74,0
"2024-05-20 10:00:00",26,0.046,26.75,0
"2024-05-20 10:05:00",27,0.045,26.76,0
"2024-05-20 10:10:00",28,0.045,26.77,0
"2024-05-20 10:15:00",29,0.045,26.78,0
"2024-05-20 10:20:00",30,0.045,26.79,0
"2024-05-20 10:25:00",31,0.045,26.8,0
"2024-05-20 10:30:00",32,0.045,26.81,0
"2024-05-20 10:35:00",33,0.045,26.82,0
"2024-05-20 10:40:00",34,0.045,26.84,0
"2024-05-20 10:45:00",35,0.045,26.85,0
"2024-05-20 10:50:00",36,0.045,26.86,0
"2024-05-20 10:55:00",37,0.045,26.88,0
"2024-05-20 11:00:00",38,0.045,26.89,0
"2024-05-20 11:05:00",39,0.045,26.91,0
"2024-05-20 11:10:00",40,0.045,26.92,0
"2024-05-20 11:15:00",41,0.045,26.93,0
"2024-05-20 11:20:00",42,0.045,26.94,0
"2024-05-20 11:25:00",43,0.045,26.94,0
"2024-05-20 11:30:00",44,0.045,26.95,0
"2024-05-20 11:35:00",45,0.045,26.96,0
"2024-05-20 11:40:00",46,0.045,26.97,0
"2024-05-20 11:45:00",47,0.045,26.98,0
"2024-05-20 11:50:00",48,0.045,27,0
"2024-05-20 11:55:00",49,0.044,26.99,0
"2024-05-20 12:00:00",50,0.044,26.98,0
"2024-05-20 12:05:00",51,0.044,26.98,0
"2024-05-20 12:10:00",52,0.044,26.98,0
"2024-05-20 12:15:00",53,0.044,26.98,0
"2024-05-20 12:20:00",54,0.044,26.99,0
"2024-05-20 12:25:00",55,0.044,27,0
"2024-05-20 12:30:00",56,0.044,27.02,0
"2024-05-20 12:35:00",57,0.044,27.03,0
"2024-05-20 12:40:00",58,0.044,27.05,0
"2024-05-20 12:45:00",59,0.044,27.06,0
"2024-05-20 12:50:00",60,0.044,27.07,0
"2024-05-20 12:55:00",61,0.044,27.09,0
"2024-05-20 13:00:00",62,0.044,27.11,0
"2024-05-20 13:05:00",63,0.044,27.13,0
"2024-05-20 13:10:00",64,0.044,27.14,0
"2024-05-20 13:15:00",65,0.044,27.16,0
"2024-05-20 13:20:00",66,0.044,27.18,0
"2024-05-20 13:25:00",67,0.044,27.2,0
"2024-05-20 13:30:00",68,0.043,27.24,0
"2024-05-20 13:35:00",69,0.043,27.26,0
"2024-05-20 13:40:00",70,0.043,27.29,0
"2024-05-20 13:45:00",71,0.043,27.31,0
"2024-05-20 13:50:00",72,0.043,27.32,0
"2024-05-20 13:55:00",73,0.043,27.34,0
"2024-05-20 14:00:00",74,0.043,27.34,0
"2024-05-20 14:05:00",75,0.043,27.34,0
"2024-05-20 14:10:00",76,0.043,27.35,0
"2024-05-20 14:15:00",77,0.043,27.35,0
"2024-05-20 14:20:00",78,0.043,27.35,0
"2024-05-20 14:25:00",79,0.042,27.34,0
"2024-05-20 14:30:00",80,0.042,27.33,0
"2024-05-20 14:35:00",81,0.042,27.32,0
"2024-05-20 14:40:00",82,0.042,27.32,0
"2024-05-20 14:45:00",83,0.042,27.31,0
"2024-05-20 14:50:00",84,0.042,27.31,0
"2024-05-20 14:55:00",85,0.042,27.3,0
"2024-05-20 15:00:00",86,0.042,27.29,0
"2024-05-20 15:05:00",87,0.042,27.29,0
"2024-05-20 15:10:00",88,0.042,27.29,0
"2024-05-20 15:15:00",89,0.042,27.28,0
"2024-05-20 15:20:00",90,0.042,27.28,0
"2024-05-20 15:25:00",91,0.042,27.27,0
"2024-05-20 15:30:00",92,0.042,27.27,0
"2024-05-20 15:35:00",93,0.041,27.26,0
"2024-05-20 15:40:00",94,0.041,27.25,0
"2024-05-20 15:45:00",95,0.041,27.25,0
"2024-05-20 15:50:00",96,0.041,27.24,0
"2024-05-20 15:55:00",97,0.041,27.23,0
"2024-05-20 16:00:00",98,0.041,27.23,0
"2024-05-20 16:05:00",99,0.041,27.22,0
"2024-05-20 16:10:00",100,0.041,27.21,0
"2024-05-20 16:15:00",101,0.041,27.21,0
"2024-05-20 16:20:00",102,0.041,27.2,0
"2024-05-20 16:25:00",103,0.041,27.2,0
"2024-05-20 16:30:00",104,0.041,27.19,0
"2024-05-20 16:35:00",105,0.041,27.19,0
"2024-05-20 16:40:00",106,0.041,27.18,0
"2024-05-20 16:45:00",107,0.041,27.17,0
"2024-05-20 16:50:00",108,0.041,27.17,0
"2024-05-20 16:55:00",109,0.041,27.16,0
"2024-05-20 17:00:00",110,0.041,27.16,0
"2024-05-20 17:05:00",111,0.041,27.15,0
"2024-05-20 17:10:00",112,0.041,27.15,0
"2024-05-20 17:15:00",113,0.041,27.14,0
"2024-05-20 17:20:00",114,0.041,27.13,0
"2024-05-20 17:25:00",115,0.041,27.13,0
"2024-05-20 17:30:00",116,0.041,27.12,0
"2024-05-20 17:35:00",117,0.041,27.12,0
"2024-05-20 17:40:00",118,0.041,27.11,0
"2024-05-20 17:45:00",119,0.041,27.1,0
"2024-05-20 17:50:00",120,0.041,27.09,0
"2024-05-20 17:55:00",121,0.041,27.09,0
"2024-05-20 18:00:00",122,0.041,27.08,0
"2024-05-20 18:05:00",123,0.041,27.07,0
"2024-05-20 18:10:00",124,0.041,27.07,0
"2024-05-20 07:50:00",0,0.047,26.63,0
"2024-05-20 07:55:00",1,0.047,26.58,0
"2024-05-20 08:00:00",2,0.047,26.58,0
"2024-05-20 08:05:00",3,0.046,26.58,0
"2024-05-20 08:10:00",4,0.046,26.58,0
"2024-05-20 08:15:00",5,0.046,26.58,0
"2024-05-20 08:20:00",6,0.046,26.58,0
"2024-05-20 08:25:00",7,0.046,26.58,0
"2024-05-20 08:30:00",8,0.046,26.59,0
"2024-05-20 08:35:00",9,0.046,26.59,0
