"TOA5","1417_Afono","CR350","5663","CR350-CELL205.Std.01.04","CPU:Samoa Mesonet_stream gauge_v04p1.CRB","55812","SysInfo"
"TIMESTAMP","RECORD","BattVolt","Tpanel","RHenc","CellUsage5min","CellStr","CellQlt"
"TS","RN","VDC","°C","%","KB","dBm",""
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-05-20 07:50:00",0,12.99,28.73,30.31,"NAN",1,0
"2024-05-20 07:55:00",1,13.09,28.76,32.15,0.2910156,1,0
"2024-05-20 08:00:00",2,13.15,28.72,31.85,0.3056641,1,0
"2024-05-20 08:05:00",3,13.13,28.78,31.98,2.618164,1,0
"2024-05-20 08:10:00",4,13.17,28.76,32.03,0.8525391,1,0
"2024-05-20 08:15:00",5,13.29,28.74,32.04,0.3095703,1,0
"2024-05-20 08:20:00",6,13.4,28.85,30.16,1.666992,1,0
"2024-05-20 08:25:00",7,13.43,28.87,29.98,0.9716797,1,0
"2024-05-20 08:30:00",8,13.62,28.88,31.11,0.328125,1,0
"2024-05-20 08:35:00",9,13.52,29.07,30.55,1.416992,1,0
"2024-05-20 08:40:00",10,13.53,29.18,31.3,0.9052734,1,0
"2024-05-20 08:45:00",11,13.52,29.32,31.23,0.2626953,1,0
"2024-05-20 08:50:00",12,13.52,29.55,30.56,1.631836,1,0
"2024-05-20 08:55:00",13,13.51,29.71,30.39,1.036133,1,0
"2024-05-20 09:00:00",14,13.53,29.88,29.93,0.3369141,1,0
"2024-05-20 09:05:00",15,13.52,30.16,29.53,1.428711,1,0
"2024-05-20 09:10:00",16,13.53,30.31,29.09,0.8115234,1,0
"2024-05-20 09:15:00",17,13.52,30.46,28.95,0.3398438,1,0
"2024-05-20 09:20:00",18,13.5,30.72,28.22,1.348633,1,0
"2024-05-20 09:25:00",19,13.49,30.86,28.08,1.067383,1,0
"2024-05-20 09:30:00",20,13.51,30.95,27.71,0.3193359,1,0
"2024-05-20 09:35:00",21,13.5,31.16,27.09,1.350586,1,0
"2024-05-20 09:40:00",22,13.49,31.23,27.09,0.9619141,1,0
"2024-05-20 09:45:00",23,13.5,31.33,27.1,0.2978516,1,0
"2024-05-20 09:50:00",24,13.49,31.53,26.37,1.18457,1,0
"2024-05-20 09:55:00",25,13.5,31.63,26.47,0.9121094,1,0
"2024-05-20 10:00:00",26,13.48,31.75,26.04,0.3173828,1,0
"2024-05-20 10:05:00",27,13.47,31.96,25.35,1.272461,1,0
"2024-05-20 10:10:00",28,13.48,32.06,25.31,0.8291016,1,0
"2024-05-20 10:15:00",29,13.49,32.12,25.44,0.3037109,1,0
"2024-05-20 10:20:00",30,13.47,32.29,24.91,1.458008,1,0
"2024-05-20 10:25:00",31,13.48,32.33,24.87,0.8378906,1,0
"2024-05-20 10:30:00",32,13.48,32.37,24.6,0.3046875,1,0
"2024-05-20 10:35:00",33,13.47,32.53,24.29,1.448242,1,0
"2024-05-20 10:40:00",34,13.48,32.55,24.22,0.6914063,1,0
"2024-05-20 10:45:00",35,13.48,32.6,24.42,0.3105469,1,0
"2024-05-20 10:50:00",36,13.47,32.77,23.68,1.712891,1,0
"2024-05-20 10:55:00",37,13.49,32.89,23.84,0.9746094,1,0
"2024-05-20 11:00:00",38,13.47,32.96,23.41,0.3134766,1,0
"2024-05-20 11:05:00",39,13.48,33.17,22.91,1.458984,1,0
