"TOA5","1417_Afono","CR350","5663","CR350-CELL205.Std.01.04","CPU:Samoa_mesonet_SG_v02.CRB","28596","Hourly"
"TIMESTAMP","RECORD","BattVolt_Min"
"TS","RN","Volts"
"","","Min"
"2024-02-08 22:00:00",0,12.66
"2024-02-08 23:00:00",1,12.66
"2024-02-09 00:00:00",2,12.66
"2024-02-09 01:00:00",3,12.65
"2024-02-09 02:00:00",4,12.65
"2024-02-09 03:00:00",5,12.65
"2024-02-09 04:00:00",6,12.65
"2024-02-09 05:00:00",7,12.64
"2024-02-09 06:00:00",8,12.64
"2024-02-09 07:00:00",9,12.64
"2024-02-09 08:00:00",10,12.65
"2024-02-09 09:00:00",11,12.71
"2024-02-09 10:00:00",12,12.76
"2024-02-09 11:00:00",13,12.83
"2024-02-09 12:00:00",14,12.93
"2024-02-09 13:00:00",15,13.04
"2024-02-09 14:00:00",16,13.04
"2024-02-09 15:00:00",17,13
"2024-02-09 16:00:00",18,13.01
"2024-02-09 17:00:00",19,13.03
"2024-02-09 18:00:00",20,12.91
"2024-02-09 19:00:00",21,12.86
"2024-02-09 20:00:00",22,12.84
"2024-02-09 21:00:00",23,12.82
"2024-02-09 22:00:00",24,12.81
"2024-02-09 23:00:00",25,12.8
"2024-02-10 00:00:00",26,12.79
"2024-02-10 01:00:00",27,12.77
"2024-02-10 02:00:00",28,12.77
"2024-02-10 03:00:00",29,12.75
"2024-02-10 04:00:00",30,12.75
"2024-02-10 05:00:00",31,12.72
"2024-02-10 06:00:00",32,12.72
"2024-02-10 07:00:00",33,12.71
"2024-02-10 08:00:00",34,12.72
"2024-02-10 09:00:00",35,12.79
"2024-02-10 10:00:00",36,12.86
"2024-02-10 11:00:00",37,12.97
"2024-02-10 12:00:00",38,13.07
"2024-02-10 13:00:00",39,13.05
"2024-02-10 14:00:00",40,13.14
"2024-02-10 15:00:00",41,13.13
"2024-02-10 16:00:00",42,13.15
"2024-02-10 17:00:00",43,13.08
"2024-02-10 18:00:00",44,12.95
"2024-02-10 19:00:00",45,12.93
"2024-02-10 20:00:00",46,12.88
"2024-02-10 21:00:00",47,12.86
"2024-02-10 22:00:00",48,12.83
"2024-02-10 23:00:00",49,12.84
"2024-02-11 00:00:00",50,12.83
"2024-02-11 01:00:00",51,12.82
"2024-02-11 02:00:00",52,12.8
"2024-02-11 03:00:00",53,12.8
"2024-02-11 04:00:00",54,12.8
