Date and Time,Fagaalu_CFS,Leone_CFS,Fagasa_CFS,Afono_CFS,Nuuuli_CFS,Vaipito_CFS,Malota_CFS,Fagaitua_CFS
2016-03-28,,,,,3.984053999241653,,,
2016-03-29,3.7753122933559013,,,,7.050917947615518,,,
2016-03-30,9.966173069339021,5.114908849662234,2.390563438660762,,12.942051236569116,1.6184445688205904,,
2016-03-31,1.9539056276313673,3.537345508557656,1.2028217049791738,,1.8119457271443842,2.7154847704685903,,
2016-04-01,3.436308259998808,3.123194289923442,1.228483999346242,,4.551321098604915,2.8902346872409237,,
2016-04-02,38.30475051359926,8.523346372430652,8.269865078318732,,33.669191607628726,8.265041201440951,,
2016-04-03,4.511874602264025,4.305936854823837,1.1913425542963971,,2.453810457984861,2.843070293122718,,
2016-04-04,4.929039222873554,4.006770172890646,1.1884835626391828,,1.7205997126785804,3.3404796087606208,,
2016-04-05,3.988412459584965,2.9948706339990925,1.409677546122897,,2.555849879693899,3.0330395741618164,3.954137856975341,
2016-04-06,6.158002634315639,2.4976788737075566,1.227100291149462,,5.273707010224465,2.6859768278596525,3.94993546718615,
2016-04-07,2.8520881087907175,2.194524915230468,1.2491751891446157,,1.6529838445239937,2.906994317653544,3.950352629029727,
2016-04-08,1.6602881530787208,2.1409226652864546,1.4066110094519668,,1.573756633452704,2.3639610027940083,3.961234302587418,
2016-04-09,25.170391670409465,27.55337230208811,8.567788361270921,,21.484402223848374,29.331103604581894,15.653149223656165,
2016-04-10,48.001818305481734,48.39085515606661,19.0598920792533,,54.856710268773824,55.060458814423505,39.751945680515725,
2016-04-11,16.62110105101088,24.464096723618717,5.449469848973253,,20.87018528112785,22.131026407141423,13.764130467232844,
2016-04-12,17.120486323033692,17.72315320534518,5.049354763803276,,18.321601972971578,22.328019285437946,10.464785961645394,
2016-04-13,20.823314258715918,26.92973977507637,8.75444945529209,,29.182294487573124,28.455265852156646,22.489894941795757,
2016-04-14,43.15291684217415,35.802815268271225,15.797692776737222,,47.47976764805098,54.699724290159686,31.500316200955048,
2016-04-15,25.593012724896745,48.85000316322414,13.212843756150574,,38.9491323310574,38.02991976208128,33.29367087041357,
2016-04-16,10.342737763579882,24.036147708816728,2.6154271500624486,,11.902790786408302,14.503942429209893,13.976309092496694,
2016-04-17,7.7186490057231945,15.092141253148492,1.4307360666243358,,6.575422615915251,9.020119593331163,8.478940861457698,
2016-04-18,10.002842456455133,11.061761888945869,1.8901184871216647,,7.008672879802321,10.519272895582962,6.423697260671357,
2016-04-19,12.171076468103662,19.77899383672506,4.486013795983402,,10.855805766082376,16.3549025840477,21.225704583580697,
2016-04-20,6.708960706784075,11.69052083147304,1.3301315836979952,,4.60888499736132,7.3239207114843445,8.457697766825246,
2016-04-21,4.316406661707095,8.807200168159945,1.339494497029343,,2.532809716211192,4.100662334507668,6.130725306188951,
2016-04-22,9.62936683885686,14.764063049338347,3.455569525458997,,12.113505925350104,10.265576555494961,8.499567315493454,
2016-04-23,23.241258755303264,19.84352919181814,6.225213462729751,,26.95426348198221,21.220124860880357,12.92728721888965,
2016-04-24,6.595489349442072,11.615291976131669,1.2060016499984667,,5.335421310564915,6.75933329445563,6.879564161122115,
2016-04-25,5.389378296499641,10.344549486214195,1.2482985714038826,,3.281489645868152,4.551509455981659,5.740557042866925,
2016-04-26,11.810142422085674,11.99696963211355,2.986185589579484,,10.870105993942891,11.763972519586986,6.443132570834327,
2016-04-27,6.93337606466852,9.0665024218596,1.2386539645205958,,4.726155030813254,6.590069249550039,5.285370551344721,
2016-04-28,5.406164646055522,8.219039934870771,1.2383998009070483,,2.964880571033717,5.364218748038906,4.89837843500941,
2016-04-29,39.84513488669441,21.9617368335414,14.200911854384017,,39.49575112061772,30.174843779149928,18.066173377791564,
2016-04-30,86.71594558811809,50.082869946340786,35.45274191627074,,89.48373105812388,92.14343172595466,28.269134991605274,
2016-05-01,29.846704655277907,64.96754457138292,13.879461462336648,,48.4683645065506,43.447340728718785,31.138558984381092,
2016-05-02,13.452711937097586,34.44960546981028,4.891733848422273,,19.73223014172513,22.239770221057178,14.875853657799054,
2016-05-03,8.008748818030554,20.056143225735678,2.173920106848702,,9.56303401830741,11.44223319850548,9.707533679377235,
2016-05-04,14.1945022538068,14.213213226682587,2.8004547670752453,,7.922435917443709,13.099705636797179,7.3900646798223475,
2016-05-05,7.688522847675459,10.737681167528125,1.6466976417060832,,5.670794232999927,8.161808041891245,6.143382833461272,
2016-05-06,4.606070325230497,8.270967825979174,1.2979405903504566,,3.552007293666342,5.0614030138429,5.424460771487421,
2016-05-07,3.5893434033089386,7.647668440864464,1.2786548903586046,,3.304791836746601,4.147310266094968,5.178486012628798,
2016-05-08,2.9858422856693476,5.7714175142247335,1.1681040756569498,,2.3967494997387417,3.2520774924711433,4.727155913085935,
2016-05-09,2.8049076746457633,4.776275354326503,1.1437067063438184,,1.91375660569975,2.7248386906790247,4.476825148294621,
2016-05-10,3.009188066645154,4.1862708999954314,1.4011905560794604,,2.219079256561765,2.7946668417487834,4.473336317249747,
2016-05-11,26.123905748039544,27.775979560195534,13.788616562125165,,39.42973051994687,32.58395162525087,18.717591020580645,
2016-05-12,7.17413512923407,11.89923083313856,2.5310887755760865,,7.04510776748504,9.375229381554284,7.289862930140162,
2016-05-13,4.2573729730021705,9.243270656082528,1.3280000668434278,,3.483250656686931,4.772323042779201,5.482378518273063,
2016-05-14,3.1718658399505557,7.531958123345324,1.1741005441660648,,2.3917076191453255,3.4774634284028036,4.916514408203996,
