Date/Time,Abs Pres (psi) c:1 2,Temp (°F) c:2,Coupler Detached,Coupler Attached,Host Connected,End Of File
6/6/2017 21:45,14.8039,79.326,,,,
6/6/2017 22:00,14.8063,79.326,,,,
6/6/2017 22:15,14.8039,79.326,,,,
6/6/2017 22:30,14.8113,79.326,,,,
6/6/2017 22:45,14.8033,79.151,,,,
6/6/2017 23:00,14.8131,79.151,,,,
6/6/2017 23:15,14.8131,79.151,,,,
6/6/2017 23:30,14.8107,79.151,,,,
6/6/2017 23:45,14.8082,79.151,,,,
6/7/2017 0:00,14.8057,79.151,,,,
6/7/2017 0:15,14.8033,79.151,,,,
6/7/2017 0:30,14.8229,79.151,,,,
6/7/2017 0:45,14.8516,78.975,,,,
6/7/2017 1:00,14.8297,78.975,,,,
6/7/2017 1:15,14.8247,78.975,,,,
6/7/2017 1:30,14.815,78.975,,,,
6/7/2017 1:45,14.8095,78.8,,,,
6/7/2017 2:00,14.8144,78.8,,,,
6/7/2017 2:15,14.8095,78.8,,,,
6/7/2017 2:30,14.8021,78.8,,,,
6/7/2017 2:45,14.8017,78.624,,,,
6/7/2017 3:00,14.7973,78.8,,,,
6/7/2017 3:15,14.7924,78.8,,,,
6/7/2017 3:30,14.7894,78.624,,,,
6/7/2017 3:45,14.7894,78.624,,,,
6/7/2017 4:00,14.7943,78.624,,,,
6/7/2017 4:15,14.804,78.624,,,,
6/7/2017 4:30,14.7992,78.624,,,,
6/7/2017 4:45,14.7992,78.624,,,,
6/7/2017 5:00,14.8065,78.624,,,,
6/7/2017 5:15,14.804,78.624,,,,
6/7/2017 5:30,14.7992,78.624,,,,
6/7/2017 5:45,14.8065,78.624,,,,
6/7/2017 6:00,14.8065,78.624,,,,
6/7/2017 6:15,14.8089,78.624,,,,
6/7/2017 6:30,14.8139,78.624,,,,
6/7/2017 6:45,14.8139,78.624,,,,
6/7/2017 7:00,14.8114,78.624,,,,
6/7/2017 7:15,14.8163,78.624,,,,
6/7/2017 7:30,14.8211,78.624,,,,
6/7/2017 7:45,14.8211,78.624,,,,
6/7/2017 8:00,14.8211,78.624,,,,
6/7/2017 8:15,14.8242,78.8,,,,
6/7/2017 8:30,14.8316,78.8,,,,
6/7/2017 8:45,14.8339,78.8,,,,
6/7/2017 9:00,14.8419,78.975,,,,
6/7/2017 9:15,14.8497,79.151,,,,
6/7/2017 9:30,14.8503,79.326,,,,
6/7/2017 9:45,14.844,79.678,,,,
6/7/2017 10:00,14.8471,79.853,,,,
6/7/2017 10:15,14.8477,80.029,,,,
6/7/2017 10:30,14.8458,80.206,,,,
6/7/2017 10:45,14.8464,80.382,,,,
6/7/2017 11:00,14.8317,80.382,,,,
6/7/2017 11:15,14.8189,80.206,,,,
6/7/2017 11:30,14.8165,80.206,,,,
6/7/2017 11:45,14.8121,80.382,,,,
6/7/2017 12:00,14.8121,80.382,,,,
6/7/2017 12:15,14.8098,80.382,,,,
6/7/2017 12:30,14.8049,80.382,,,,
6/7/2017 12:45,14.7962,80.735,,,,
6/7/2017 13:00,14.7966,81.621,,,,
6/7/2017 13:15,14.7917,81.621,,,,
6/7/2017 13:30,14.7894,81.621,,,,
6/7/2017 13:45,14.7869,81.621,,,,
6/7/2017 14:00,14.7789,81.442,,,,
6/7/2017 14:15,14.7808,81.266,,,,
6/7/2017 14:30,14.7802,81.09,,,,
6/7/2017 14:45,14.7778,81.09,,,,
6/7/2017 15:00,14.7754,81.09,,,,
6/7/2017 15:15,14.776,81.266,,,,
6/7/2017 15:30,14.7735,81.266,,,,
6/7/2017 15:45,14.7789,81.442,,,,
6/7/2017 16:00,14.7735,81.266,,,,
6/7/2017 16:15,14.7796,80.911,,,,
6/7/2017 16:30,14.7791,80.735,,,,
6/7/2017 16:45,14.7762,80.559,,,,
