,Date,Total_flow_CFS,Base_flow_CFS,Runoff_CFS,Month
0,2016-03-29,3.775312293355901,,,3
1,2016-03-30,9.96617306933902,,,3
2,2016-03-31,1.9539056276313675,,,3
3,2016-04-01,3.4363082599988077,,,4
4,2016-04-02,38.30475051359926,,,4
5,2016-04-03,4.511874602264025,,,4
6,2016-04-04,4.929039222873554,,,4
7,2016-04-05,3.988412459584965,,,4
8,2016-04-06,6.158002634315639,,,4
9,2016-04-07,2.852088108790717,,,4
10,2016-04-08,1.6602881530787208,,,4
11,2016-04-09,25.170391670409465,,,4
12,2016-04-10,48.00181830548173,,,4
13,2016-04-11,16.621101051010882,,,4
14,2016-04-12,17.120486323033692,,,4
15,2016-04-13,20.82331425871592,,,4
16,2016-04-14,43.15291684217415,,,4
17,2016-04-15,25.593012724896745,,,4
18,2016-04-16,10.342737763579882,,,4
19,2016-04-17,7.718649005723194,,,4
20,2016-04-18,10.002842456455133,,,4
21,2016-04-19,12.171076468103662,,,4
22,2016-04-20,6.708960706784075,,,4
23,2016-04-21,4.316406661707095,4.316406661707095,0.0,4
24,2016-04-22,9.629366838856859,4.240831712354028,5.3885351265028305,4
25,2016-04-23,23.241258755303264,4.165256763000962,19.076001992302302,4
26,2016-04-24,6.595489349442072,4.089681813647895,2.505807535794177,4
27,2016-04-25,5.389378296499642,4.0141068642948285,1.3752714322048138,4
28,2016-04-26,11.810142422085676,3.938531914941762,7.871610507143913,4
29,2016-04-27,6.933376064668519,3.8629569655886957,3.0704190990798237,4
30,2016-04-28,5.406164646055522,3.787382016235629,1.6187826298198935,4
31,2016-04-29,39.84513488669441,3.7118070668825625,36.133327819811846,4
32,2016-04-30,86.71594558811809,3.636232117529496,83.07971347058859,4
33,2016-05-01,29.84670465527791,3.560657168176429,26.28604748710148,5
34,2016-05-02,13.452711937097586,3.4850822188233628,9.967629718274223,5
35,2016-05-03,8.008748818030554,3.4095072694702964,4.599241548560258,5
36,2016-05-04,14.194502253806801,3.3339323201172295,10.860569933689572,5
37,2016-05-05,7.6885228476754595,3.258357370764163,4.430165476911297,5
38,2016-05-06,4.6060703252304975,3.1827824214110967,1.4232879038194008,5
39,2016-05-07,3.589343403308938,3.10720747205803,0.48213593125090837,5
40,2016-05-08,2.985842285669348,3.0316325227049634,0.0,5
41,2016-05-09,2.8049076746457637,2.956057573351897,0.0,5
42,2016-05-10,3.009188066645154,2.88048262399883,0.12870544264632366,5
43,2016-05-11,26.123905748039547,2.8049076746457637,23.318998073393782,5
44,2016-05-12,7.174135129234071,2.758165799565736,4.415969329668336,5
45,2016-05-13,4.2573729730021705,2.7114239244857083,1.5459490485164622,5
46,2016-05-14,3.171865839950556,2.6646820494056804,0.5071837905448757,5
47,2016-05-15,2.9369733705548726,2.6179401743256525,0.3190331962292201,5
48,2016-05-16,2.653078211274439,2.5711982992456246,0.0818799120288145,5
49,2016-05-17,2.9429462996134097,2.524456424165597,0.4184898754478126,5
50,2016-05-18,2.5710767265242875,2.477714549085569,0.09336217743871833,5
51,2016-05-19,2.579413518013255,2.4309726740055413,0.14844084400771385,5
52,2016-05-20,2.337488923845486,2.384230798925514,0.0,5
53,2016-05-21,13.509909348348039,2.337488923845486,11.172420424502553,5
54,2016-05-22,7.104495803731661,2.2614963246131414,4.84299947911852,5
55,2016-05-23,5.339890933952255,2.1855037253807974,3.1543872085714573,5
56,2016-05-24,4.224750002573927,2.109511126148453,2.115238876425474,5
57,2016-05-25,3.4069327973826233,2.033518526916109,1.3734142704665144,5
58,2016-05-26,2.9913467311036763,1.9575259276837647,1.0338208034199117,5
59,2016-05-27,3.2715024902752217,1.8815333284514204,1.3899691618238013,5
60,2016-05-28,2.5362632270924954,1.805540729219076,0.7307224978734195,5
61,2016-05-29,2.7329858314503177,1.729548129986732,1.0034377014635858,5
62,2016-05-30,2.921722543671378,1.6535555307543874,1.2681670129169906,5
63,2016-05-31,2.6024018965663225,1.5775629315220434,1.024838965044279,5
64,2016-06-01,2.418808523663172,1.501570332289699,0.9172381913734728,6
65,2016-06-02,2.7344410744626844,1.4255777330573547,1.3088633414053297,6
66,2016-06-03,1.4379135719988396,1.3495851338250104,0.08832843817382918,6
67,2016-06-04,1.197599935360322,1.2735925345926662,0.0,6
68,2016-06-05,1.411710520589558,1.197599935360322,0.21411058522923598,6
69,2016-06-06,1.4991064663784213,1.2465679210766494,0.2525385453017719,6
70,2016-06-07,1.373905832258869,1.2955359067929766,0.0783699254658925,6
71,2016-06-08,1.67285443206732,1.344503892509304,0.32835053955801596,6
72,2016-06-09,1.8871088141376584,1.3934718782256312,0.4936369359120272,6
73,2016-06-10,2.3636260495795027,1.4424398639419587,0.9211861856375441,6
74,2016-06-11,5.33826454574293,1.4914078496582859,3.846856696084644,6
75,2016-06-12,2.4322807858052125,1.5403758353746133,0.8919049504305991,6
76,2016-06-13,2.9902657850024554,1.5893438210909405,1.400921963911515,6
77,2016-06-14,2.433479593128081,1.638311806807268,0.7951677863208131,6
78,2016-06-15,3.0435036090069127,1.6872797925235952,1.3562238164833176,6
79,2016-06-16,4.896040383578899,1.7362477782399226,3.1597926053389758,6
80,2016-06-17,4.8972013230204245,1.7852157639562498,3.1119855590641747,6
81,2016-06-18,2.8522391069263398,1.8341837496725772,1.0180553572537625,6
82,2016-06-19,2.201921082863397,1.8831517353889047,0.31876934747449237,6
83,2016-06-20,1.932119721105232,1.932119721105232,0.0,6
84,2016-06-21,2.05516926893186,1.928144196186128,0.12702507274573205,6
85,2016-06-22,1.7587192319840823,1.9241686712670243,0.0,6
