"TOA5","1419_Tula","CR350","5767","CR350-CELL205.Std.01.04","CPU:Samoa_mesonet_SG_v01.CRB","41307","Status"
"TIMESTAMP","RECORD","OSVersion","OSDate","OSSignature","SerialNumber","StationName","ProgName","StartTime","RunSignature","ProgSignature","WatchdogErrors","PanelTemp","Battery","LithiumBattery","CompileResults","StartUpCode","ProgErrors","VarOutOfBound","SkippedScan","SkippedSlowScan","WiFiUpdateReq","DataStorageSize","DataStorageFree","SerialFlashErrors","MemorySize","MemoryFree","CPUDriveFree","CommsMemFree","FullMemReset","MeasureTime","ProcessTime","MaxProcTime","LastSlowScan","SlowProcTime","MaxSlowProcTime","PortStatus(1)","PortStatus(2)","PortConfig(1)","PortConfig(2)","SW12Volts(1)","SW12Volts(2)","PakBusRoutes","CalGainSlow2500","CalGainMed2500","CalGainFast2500","CalGainSlow34","CalGainMed34","CalGainFast34","CalOffset"
"TS","RN","","","","","","","","","","","DegC","Volts","","","","","","","","","bytes","bytes","","bytes","bytes","bytes","","","usec","usec","usec","","usec","usec","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2024-05-20 07:33:45.486",4,"CR350-CELL205.Std.01.04","09/07/2022",49752,"5767","1419_Tula","CPU:Samoa_mesonet_SG_v01.CRB","2024-05-01 10:04:15.000887",10398,41307,0,31.61629,12.51669,3.336725,"CPU:Samoa_mesonet_SG_v01.CRB -- Compiled OK.  ",0,0,0,816284,0,0,52428800,8192,0,8456192,7862400,51128000,"7803272 available.",0,206900,1860429,1910073,"2024-05-20 07:33:40",52,6979,0,0,"SDI-12","none",0,0,"213,4070,4070,5000  ",0.999588,1.000021,1.000334,0.9995204,0.99998,1.000353,0
