"TOA5","1419_Tula","CR350","5767","CR350-CELL205.Std.01.04","CPU:Samoa_mesonet_SG_v01.CRB","41307","Hourly"
"TIMESTAMP","RECORD","BattV_Min"
"TS","RN","Volts"
"","","Min"
"2024-05-01 11:00:00",0,13.04
"2024-05-01 12:00:00",1,12.95
"2024-05-01 13:00:00",2,13.03
"2024-05-01 14:00:00",3,13.1
"2024-05-01 15:00:00",4,13.03
"2024-05-01 16:00:00",5,13.05
"2024-05-01 17:00:00",6,13
"2024-05-01 18:00:00",7,12.93
"2024-05-01 19:00:00",8,12.9
"2024-05-01 20:00:00",9,12.87
"2024-05-01 21:00:00",10,12.86
"2024-05-01 22:00:00",11,12.85
"2024-05-01 23:00:00",12,12.84
"2024-05-02 00:00:00",13,12.83
"2024-05-02 01:00:00",14,12.83
"2024-05-02 02:00:00",15,12.84
"2024-05-02 03:00:00",16,12.83
"2024-05-02 04:00:00",17,12.84
"2024-05-02 05:00:00",18,12.83
"2024-05-02 06:00:00",19,12.83
"2024-05-02 07:00:00",20,12.83
"2024-05-02 08:00:00",21,12.87
"2024-05-02 09:00:00",22,12.92
"2024-05-02 10:00:00",23,12.92
"2024-05-02 11:00:00",24,13.06
"2024-05-02 12:00:00",25,13.07
"2024-05-02 13:00:00",26,13.18
"2024-05-02 14:00:00",27,13.28
"2024-05-02 15:00:00",28,13.28
"2024-05-02 16:00:00",29,13.1
"2024-05-02 17:00:00",30,13.06
"2024-05-02 18:00:00",31,13
"2024-05-02 19:00:00",32,12.95
"2024-05-02 20:00:00",33,12.92
"2024-05-02 21:00:00",34,12.89
"2024-05-02 22:00:00",35,12.85
"2024-05-02 23:00:00",36,12.85
"2024-05-03 00:00:00",37,12.84
"2024-05-03 01:00:00",38,12.83
"2024-05-03 02:00:00",39,12.82
"2024-05-03 03:00:00",40,12.82
"2024-05-03 04:00:00",41,12.81
"2024-05-03 05:00:00",42,12.81
"2024-05-03 06:00:00",43,12.81
"2024-05-03 07:00:00",44,12.81
"2024-05-03 08:00:00",45,12.82
"2024-05-03 09:00:00",46,12.9
"2024-05-03 10:00:00",47,13.1
"2024-05-03 11:00:00",48,13.13
"2024-05-03 12:00:00",49,13.11
"2024-05-03 13:00:00",50,13.16
"2024-05-03 14:00:00",51,13.15
"2024-05-03 15:00:00",52,13.23
"2024-05-03 16:00:00",53,13.2
"2024-05-03 17:00:00",54,13.13
