Date,Abs Pres (psi) c:1 2,Temp (°F) c:2,Coupler Detached,Coupler Attached,Host Connected,Stopped,End Of File
8/20/2016 17:15,14.7476,78.449,,,,,
8/20/2016 17:30,14.7521,78.449,,,,,
8/20/2016 17:45,14.7537,78.274,,,,,
8/20/2016 18:00,14.7537,78.274,,,,,
8/20/2016 18:15,14.7582,78.274,,,,,
8/20/2016 18:30,14.7599,78.098,,,,,
8/20/2016 18:45,14.7621,78.098,,,,,
8/20/2016 19:00,14.7621,78.098,,,,,
8/20/2016 19:15,14.766,77.923,,,,,
8/20/2016 19:30,14.7683,77.923,,,,,
8/20/2016 19:45,14.7728,77.923,,,,,
8/20/2016 20:00,14.7947,77.749,,,,,
8/20/2016 20:15,14.8127,77.749,,,,,
8/20/2016 20:30,14.8262,77.749,,,,,
8/20/2016 20:45,14.8324,77.574,,,,,
8/20/2016 21:00,14.9089,77.574,,,,,
8/20/2016 21:15,14.9155,77.574,,,,,
8/20/2016 21:30,14.9155,77.574,,,,,
8/20/2016 21:45,14.9284,77.4,,,,,
8/20/2016 22:00,14.9284,77.4,,,,,
8/20/2016 22:15,14.9284,77.4,,,,,
8/20/2016 22:30,14.9212,77.225,,,,,
8/20/2016 22:45,14.9099,77.225,,,,,
8/20/2016 23:00,14.9099,77.225,,,,,
8/20/2016 23:15,14.8964,77.225,,,,,
8/20/2016 23:30,14.8913,77.05,,,,,
8/20/2016 23:45,14.9048,77.05,,,,,
8/21/2016 0:00,14.8913,77.05,,,,,
8/21/2016 0:15,14.9003,77.05,,,,,
8/21/2016 0:30,14.9071,77.05,,,,,
8/21/2016 0:45,14.9116,77.05,,,,,
8/21/2016 1:00,14.9222,76.876,,,,,
8/21/2016 1:15,14.9492,76.876,,,,,
8/21/2016 1:30,14.9672,76.876,,,,,
8/21/2016 1:45,14.9986,76.876,,,,,
8/21/2016 2:00,15.034,76.703,,,,,
8/21/2016 2:15,15.0319,76.703,,,,,
8/21/2016 2:30,15.0656,76.703,,,,,
8/21/2016 2:45,15.0633,76.703,,,,,
8/21/2016 3:00,15.0678,76.703,,,,,
8/21/2016 3:15,15.0567,76.703,,,,,
8/21/2016 3:30,15.0453,76.703,,,,,
8/21/2016 3:45,15.0358,76.528,,,,,
8/21/2016 4:00,15.0424,76.528,,,,,
8/21/2016 4:15,15.0448,76.528,,,,,
8/21/2016 4:30,15.0469,76.528,,,,,
8/21/2016 4:45,15.0403,76.528,,,,,
8/21/2016 5:00,15.0313,76.528,,,,,
8/21/2016 5:15,15.0493,76.528,,,,,
8/21/2016 5:30,15.0784,76.528,,,,,
8/21/2016 5:45,15.1032,76.528,,,,,
8/21/2016 6:00,15.0965,76.528,,,,,
8/21/2016 6:15,15.101,76.528,,,,,
8/21/2016 6:30,15.128,76.528,,,,,
8/21/2016 6:45,15.1505,76.528,,,,,
8/21/2016 7:00,15.1865,76.528,,,,,
8/21/2016 7:15,15.3051,76.354,,,,,
8/21/2016 7:30,15.3163,76.354,,,,,
8/21/2016 7:45,15.3298,76.354,,,,,
8/21/2016 8:00,15.2758,76.354,,,,,
8/21/2016 8:15,15.2449,76.528,,,,,
8/21/2016 8:30,15.2382,76.528,,,,,
8/21/2016 8:45,15.2269,76.528,,,,,
8/21/2016 9:00,15.2134,76.528,,,,,
8/21/2016 9:15,15.1865,76.528,,,,,
8/21/2016 9:30,15.1622,76.703,,,,,
8/21/2016 9:45,15.1601,76.703,,,,,
8/21/2016 10:00,15.1533,76.703,,,,,
8/21/2016 10:15,15.1353,76.703,,,,,
8/21/2016 10:30,15.1308,76.703,,,,,
8/21/2016 10:45,15.1263,76.703,,,,,
8/21/2016 11:00,15.1224,76.876,,,,,
8/21/2016 11:15,15.1089,76.876,,,,,
8/21/2016 11:30,15.1157,76.876,,,,,
8/21/2016 11:45,15.1651,76.876,,,,,
8/21/2016 12:00,15.1585,76.876,,,,,
8/21/2016 12:15,15.154,76.876,,,,,
8/21/2016 12:30,15.1253,77.05,,,,,
8/21/2016 12:45,15.1276,77.05,,,,,
8/21/2016 13:00,15.1124,77.225,,,,,
8/21/2016 13:15,15.1147,77.225,,,,,
8/21/2016 13:30,15.0944,77.225,,,,,
8/21/2016 13:45,15.0838,77.4,,,,,
8/21/2016 14:00,15.0815,77.4,,,,,
8/21/2016 14:15,15.0815,77.4,,,,,
8/21/2016 14:30,15.0709,77.574,,,,,
8/21/2016 14:45,15.0664,77.574,,,,,
8/21/2016 15:00,15.0686,77.574,,,,,
8/21/2016 15:15,15.0641,77.574,,,,,
8/21/2016 15:30,15.0641,77.574,,,,,
8/21/2016 15:45,15.0523,77.4,,,,,
8/21/2016 16:00,15.0658,77.4,,,,,
8/21/2016 16:15,15.0658,77.4,,,,,
8/21/2016 16:30,15.086,77.4,,,,,
8/21/2016 16:45,15.0787,77.225,,,,,
8/21/2016 17:00,15.0674,77.225,,,,,
8/21/2016 17:15,15.0719,77.225,,,,,
8/21/2016 17:30,15.0674,77.225,,,,,
8/21/2016 17:45,15.0606,77.225,,,,,
8/21/2016 18:00,15.0488,77.05,,,,,
8/21/2016 18:15,15.0623,77.05,,,,,
8/21/2016 18:30,15.0533,77.05,,,,,
8/21/2016 18:45,15.0443,77.05,,,,,
8/21/2016 19:00,15.0443,77.05,,,,,
8/21/2016 19:15,15.0488,77.05,,,,,
8/21/2016 19:30,15.0527,76.876,,,,,
8/21/2016 19:45,15.0482,76.876,,,,,
8/21/2016 20:00,15.0348,76.876,,,,,
8/21/2016 20:15,15.0211,76.876,,,,,
8/21/2016 20:30,15.0324,76.876,,,,,
8/21/2016 20:45,15.0258,76.876,,,,,
8/21/2016 21:00,15.0189,76.876,,,,,
8/21/2016 21:15,15.0234,76.876,,,,,
8/21/2016 21:30,15.0189,76.876,,,,,
8/21/2016 21:45,15.01,76.876,,,,,
8/21/2016 22:00,15.0166,76.876,,,,,
8/21/2016 22:15,15.0055,76.876,,,,,
8/21/2016 22:30,15.0026,76.703,,,,,
8/21/2016 22:45,15.0055,76.876,,,,,
8/21/2016 23:00,14.9914,76.703,,,,,
8/21/2016 23:15,14.9846,76.703,,,,,
8/21/2016 23:30,14.9914,76.703,,,,,
8/21/2016 23:45,14.9756,76.703,,,,,
8/22/2016 0:00,14.9666,76.703,,,,,
8/22/2016 0:15,14.9779,76.703,,,,,
8/22/2016 0:30,14.9846,76.703,,,,,
8/22/2016 0:45,14.9846,76.703,,,,,
8/22/2016 1:00,14.9824,76.703,,,,,
8/22/2016 1:15,14.9846,76.703,,,,,
8/22/2016 1:30,14.9711,76.703,,,,,
8/22/2016 1:45,14.9846,76.703,,,,,
8/22/2016 2:00,14.9756,76.703,,,,,
8/22/2016 2:15,14.9644,76.703,,,,,
8/22/2016 2:30,14.9801,76.703,,,,,
8/22/2016 2:45,14.966,76.528,,,,,
8/22/2016 3:00,14.975,76.528,,,,,
8/22/2016 3:15,14.9615,76.528,,,,,
8/22/2016 3:30,14.966,76.528,,,,,
8/22/2016 3:45,14.966,76.528,,,,,
8/22/2016 4:00,14.9615,76.528,,,,,
8/22/2016 4:15,14.948,76.528,,,,,
8/22/2016 4:30,14.9683,76.528,,,,,
8/22/2016 4:45,14.9592,76.528,,,,,
8/22/2016 5:00,14.9525,76.528,,,,,
8/22/2016 5:15,14.9547,76.528,,,,,
8/22/2016 5:30,14.9502,76.528,,,,,
