Date/Time,Abs Pres (psi) c:1 2,Temp (°F) c:2,Coupler Detached,Coupler Attached,Host Connected
4/6/2016 15:15,14.8419,81.09,,,
4/6/2016 15:30,14.84,80.559,,,
4/6/2016 15:45,14.8347,80.382,,,
4/6/2016 16:00,14.8347,80.382,,,
4/6/2016 16:15,14.8371,80.382,,,
4/6/2016 16:30,14.8371,80.382,,,
4/6/2016 16:45,14.8388,80.206,,,
4/6/2016 17:00,14.8411,80.206,,,
4/6/2016 17:15,14.8411,80.206,,,
4/6/2016 17:30,14.8388,80.206,,,
4/6/2016 17:45,14.8381,80.029,,,
4/6/2016 18:00,14.8358,80.029,,,
4/6/2016 18:15,14.8358,80.029,,,
4/6/2016 18:30,14.8406,80.029,,,
4/6/2016 18:45,14.8398,79.853,,,
4/6/2016 19:00,14.8421,79.853,,,
4/6/2016 19:15,14.8398,79.853,,,
4/6/2016 19:30,14.8398,79.853,,,
4/6/2016 19:45,14.8375,79.853,,,
4/6/2016 20:00,14.8375,79.853,,,
4/6/2016 20:15,14.8398,79.853,,,
4/6/2016 20:30,14.8439,79.678,,,
4/6/2016 20:45,14.8462,79.678,,,
4/6/2016 21:00,14.8508,79.678,,,
4/6/2016 21:15,14.8508,79.678,,,
4/6/2016 21:30,14.8533,79.678,,,
4/6/2016 21:45,14.8508,79.678,,,
4/6/2016 22:00,14.8485,79.678,,,
4/6/2016 22:15,14.8485,79.678,,,
4/6/2016 22:30,14.8485,79.678,,,
4/6/2016 22:45,14.8439,79.678,,,
4/6/2016 23:00,14.8416,79.678,,,
4/6/2016 23:15,14.8416,79.678,,,
4/6/2016 23:30,14.8392,79.678,,,
4/6/2016 23:45,14.8346,79.678,,,
4/7/2016 0:00,14.8323,79.678,,,
4/7/2016 0:15,14.83,79.678,,,
4/7/2016 0:30,14.8229,79.678,,,
4/7/2016 0:45,14.8205,79.678,,,
4/7/2016 1:00,14.8159,79.678,,,
4/7/2016 1:15,14.8136,79.678,,,
4/7/2016 1:30,14.8136,79.678,,,
4/7/2016 1:45,14.8089,79.678,,,
4/7/2016 2:00,14.8043,79.678,,,
4/7/2016 2:15,14.8043,79.678,,,
4/7/2016 2:30,14.802,79.678,,,
4/7/2016 2:45,14.802,79.678,,,
4/7/2016 3:00,14.7989,79.502,,,
4/7/2016 3:15,14.8014,79.502,,,
4/7/2016 3:30,14.8014,79.502,,,
4/7/2016 3:45,14.8014,79.502,,,
4/7/2016 4:00,14.8014,79.502,,,
4/7/2016 4:15,14.8014,79.502,,,
4/7/2016 4:30,14.8037,79.502,,,
4/7/2016 4:45,14.8037,79.502,,,
4/7/2016 5:00,14.8037,79.502,,,
4/7/2016 5:15,14.8043,79.678,,,
4/7/2016 5:30,14.8089,79.678,,,
4/7/2016 5:45,14.8136,79.678,,,
4/7/2016 6:00,14.8136,79.678,,,
4/7/2016 6:15,14.8113,79.678,,,
4/7/2016 6:30,14.8113,79.678,,,
4/7/2016 6:45,14.8136,79.678,,,
4/7/2016 7:00,14.8136,79.678,,,
4/7/2016 7:15,14.8136,79.678,,,
4/7/2016 7:30,14.8136,79.678,,,
4/7/2016 7:45,14.8159,79.678,,,
4/7/2016 8:00,14.8159,79.678,,,
4/7/2016 8:15,14.8189,79.853,,,
4/7/2016 8:30,14.8165,79.853,,,
4/7/2016 8:45,14.8236,79.853,,,
4/7/2016 9:00,14.8265,80.029,,,
4/7/2016 9:15,14.8288,80.029,,,
4/7/2016 9:30,14.8317,80.206,,,
4/7/2016 9:45,14.8271,80.206,,,
4/7/2016 10:00,14.8278,80.382,,,
4/7/2016 10:15,14.8237,80.559,,,
4/7/2016 10:30,14.822,80.735,,,
4/7/2016 10:45,14.8266,80.735,,,
4/7/2016 11:00,14.8214,80.559,,,
4/7/2016 11:15,14.8226,80.911,,,
4/7/2016 11:30,14.8185,81.09,,,
4/7/2016 11:45,14.8168,81.266,,,
4/7/2016 12:00,14.8162,81.09,,,
4/7/2016 12:15,14.8144,81.266,,,
4/7/2016 12:30,14.8104,81.442,,,
4/7/2016 12:45,14.8111,81.621,,,
4/7/2016 13:00,14.8047,81.797,,,
4/7/2016 13:15,14.8007,81.975,,,
4/7/2016 13:30,14.7995,82.33,,,
4/7/2016 13:45,14.7972,82.33,,,
4/7/2016 14:00,14.7956,82.508,,,
4/7/2016 14:15,14.7979,82.508,,,
4/7/2016 14:30,14.7931,82.508,,,
4/7/2016 14:45,14.7902,82.33,,,
4/7/2016 15:00,14.7856,82.33,,,
4/7/2016 15:15,14.7879,82.33,,,
4/7/2016 15:30,14.7856,82.33,,,
