Date,"Abs Pres, psi","Temp, °F",Coupler Detached,End Of File
2/13/2018 12:15,14.7764,79.853,Logged,
2/13/2018 12:30,14.7743,79.853,,
2/13/2018 12:45,14.7748,80.029,,
2/13/2018 13:00,14.7688,80.206,,
2/13/2018 13:15,14.7709,80.206,,
2/13/2018 13:30,14.7666,80.206,,
2/13/2018 13:45,14.7688,80.206,,
2/13/2018 14:00,14.7683,80.029,,
2/13/2018 14:15,14.7683,80.029,,
2/13/2018 14:30,14.7622,80.206,,
2/13/2018 14:45,14.7644,80.206,,
2/13/2018 15:00,14.7601,80.206,,
2/13/2018 15:15,14.7601,80.206,,
2/13/2018 15:30,14.7579,80.206,,
2/13/2018 15:45,14.7579,80.206,,
2/13/2018 16:00,14.7535,80.206,,
2/13/2018 16:15,14.7574,80.029,,
2/13/2018 16:30,14.7592,79.853,,
2/13/2018 16:45,14.7564,79.678,,
2/13/2018 17:00,14.7582,79.502,,
2/13/2018 17:15,14.7621,79.326,,
2/13/2018 17:30,14.7643,79.326,,
2/13/2018 17:45,14.7702,79.151,,
2/13/2018 18:00,14.7702,79.151,,
2/13/2018 18:15,14.7741,78.975,,
2/13/2018 18:30,14.7763,78.975,,
2/13/2018 18:45,14.7763,78.975,,
2/13/2018 19:00,14.7759,78.8,,
2/13/2018 19:15,14.7759,78.8,,
2/13/2018 19:30,14.7802,78.8,,
2/13/2018 19:45,14.782,78.624,,
2/13/2018 20:00,14.7862,78.624,,
2/13/2018 20:15,14.7883,78.624,,
2/13/2018 20:30,14.7879,78.449,,
2/13/2018 20:45,14.7901,78.449,,
2/13/2018 21:00,14.7901,78.449,,
2/13/2018 21:15,14.7875,78.274,,
2/13/2018 21:30,14.7918,78.274,,
2/13/2018 21:45,14.7918,78.274,,
2/13/2018 22:00,14.7936,78.098,,
2/13/2018 22:15,14.7936,78.098,,
2/13/2018 22:30,14.7973,77.923,,
2/13/2018 22:45,14.7995,77.923,,
2/13/2018 23:00,14.7969,77.749,,
2/13/2018 23:15,14.7991,77.749,,
2/13/2018 23:30,14.7991,77.749,,
2/13/2018 23:45,14.7991,77.749,,
2/14/2018 0:00,14.7943,77.574,,
2/14/2018 0:15,14.7943,77.574,,
2/14/2018 0:30,14.7921,77.574,,
2/14/2018 0:45,14.7943,77.574,,
2/14/2018 1:00,14.7938,77.4,,
2/14/2018 1:15,14.7873,77.4,,
2/14/2018 1:30,14.7873,77.4,,
2/14/2018 1:45,14.783,77.4,,
2/14/2018 2:00,14.783,77.4,,
2/14/2018 2:15,14.7808,77.4,,
2/14/2018 2:30,14.7782,77.225,,
2/14/2018 2:45,14.7782,77.225,,
2/14/2018 3:00,14.7782,77.225,,
2/14/2018 3:15,14.7738,77.225,,
2/14/2018 3:30,14.776,77.225,,
2/14/2018 3:45,14.7738,77.225,,
2/14/2018 4:00,14.7738,77.225,,
2/14/2018 4:15,14.7756,77.05,,
2/14/2018 4:30,14.7756,77.05,,
2/14/2018 4:45,14.7734,77.05,,
2/14/2018 5:00,14.7778,77.05,,
2/14/2018 5:15,14.7756,77.05,,
2/14/2018 5:30,14.7778,77.05,,
2/14/2018 5:45,14.7799,77.05,,
2/14/2018 6:00,14.7799,77.05,,
2/14/2018 6:15,14.7799,77.05,,
2/14/2018 6:30,14.7799,77.05,,
2/14/2018 6:45,14.7843,77.05,,
2/14/2018 7:00,14.7847,77.225,,
2/14/2018 7:15,14.7869,77.225,,
2/14/2018 7:30,14.7847,77.225,,
2/14/2018 7:45,14.7847,77.225,,
2/14/2018 8:00,14.7873,77.4,,
2/14/2018 8:15,14.7895,77.4,,
2/14/2018 8:30,14.7899,77.574,,
2/14/2018 8:45,14.793,77.923,,
2/14/2018 9:00,14.7908,77.923,,
2/14/2018 9:15,14.7888,77.923,,
2/14/2018 9:30,14.7914,78.098,,
2/14/2018 9:45,14.7914,78.098,,
2/14/2018 10:00,14.7892,78.098,,
2/14/2018 10:15,14.7914,78.098,,
2/14/2018 10:30,14.7862,78.624,,
2/14/2018 10:45,14.7872,78.975,,
2/14/2018 11:00,14.7876,79.151,,
2/14/2018 11:15,14.7865,79.502,,
2/14/2018 11:30,14.7895,79.853,,
2/14/2018 11:45,14.7856,80.029,,
2/14/2018 12:00,14.7866,80.382,,
2/14/2018 12:15,14.7827,80.559,,
2/14/2018 12:30,14.7793,80.911,,
2/14/2018 12:45,14.782,81.09,,
2/14/2018 13:00,14.7764,81.442,,
2/14/2018 13:15,14.7725,81.621,,
2/14/2018 13:30,14.7709,81.797,,
2/14/2018 13:45,14.7714,81.975,,
