"TOA5","1411_Nuuuli","CR350","5769","CR350-CELL205.Std.01.04","CPU:Samoa_mesonet_SG_v02.CRB","28596","Hourly"
"TIMESTAMP","RECORD","BattVolt_Min"
"TS","RN","Volts"
"","","Min"
"2024-02-14 09:00:00",0,12.7
"2024-02-14 16:00:00",1,12.72
"2024-02-15 08:00:00",2,12.6
"2024-02-15 09:00:00",3,12.7
"2024-02-15 10:00:00",4,12.85
"2024-02-15 11:00:00",5,12.92
"2024-02-15 12:00:00",6,13.15
"2024-02-15 13:00:00",7,13.11
"2024-02-15 14:00:00",8,13.27
"2024-02-15 15:00:00",9,13.31
"2024-02-15 16:00:00",10,13.17
"2024-02-15 17:00:00",11,13.2
"2024-02-15 18:00:00",12,13.07
"2024-02-15 19:00:00",13,12.94
"2024-02-15 20:00:00",14,12.91
"2024-02-15 21:00:00",15,12.9
"2024-02-15 22:00:00",16,12.88
"2024-02-15 23:00:00",17,12.87
"2024-02-16 00:00:00",18,12.86
"2024-02-16 01:00:00",19,12.85
"2024-02-16 02:00:00",20,12.84
"2024-02-16 03:00:00",21,12.84
"2024-02-16 04:00:00",22,12.83
"2024-02-16 05:00:00",23,12.82
"2024-02-16 06:00:00",24,12.82
"2024-02-16 07:00:00",25,12.81
"2024-02-16 08:00:00",26,12.83
"2024-02-16 09:00:00",27,12.93
"2024-02-16 10:00:00",28,12.99
"2024-02-16 11:00:00",29,13.11
"2024-02-16 12:00:00",30,13.18
"2024-02-16 13:00:00",31,13.22
"2024-02-16 14:00:00",32,13.31
"2024-02-17 13:00:00",33,13.41
"2024-02-17 14:00:00",34,13.44
"2024-02-17 15:00:00",35,13.45
"2024-02-17 16:00:00",36,13.45
"2024-02-17 17:00:00",37,13.41
"2024-02-17 18:00:00",38,13.23
"2024-02-17 19:00:00",39,13.02
"2024-02-17 20:00:00",40,12.99
"2024-02-17 21:00:00",41,12.97
"2024-02-17 22:00:00",42,12.96
"2024-02-17 23:00:00",43,12.95
"2024-02-18 00:00:00",44,12.94
"2024-02-18 01:00:00",45,12.93
"2024-02-18 02:00:00",46,12.92
"2024-02-18 03:00:00",47,12.91
"2024-02-18 04:00:00",48,12.9
"2024-02-18 05:00:00",49,12.9
"2024-02-18 06:00:00",50,12.89
"2024-02-18 07:00:00",51,12.87
"2024-02-18 08:00:00",52,12.88
"2024-02-18 09:00:00",53,12.9
"2024-02-18 10:00:00",54,13.08
