"TOA5","Alfono_1316","CR300","4056","CR300-WIFI.Std.10.07","CPU:Samoa Mesonet_universal_v00.CR300","10913","MetData"
"TIMESTAMP","RECORD","SWin_Avg","Tair_Avg","RH_Avg","VP_Avg","VPsat_Avg","VPD_Avg","WS_Avg","WSrs_Avg","WDuv_Avg","WDrs_Avg","WD_StdY","WD_StdCS","RF_Tot"
"TS","RN","W/m²","C","%","kPa","kPa","kPa","m/s","m/s","degrees","degrees","degrees","degrees","mm"
"","","Avg","Avg","Smp","Avg","Avg","Avg","Smp","Smp","Smp","Smp","Smp","Smp","Tot"
"2023-12-18 18:35:00",2073,6.093376,"NAN","NAN","NAN","NAN","NAN",1.239,0.986,182.3,177.6,37.63,32.84,0
"2023-12-18 18:40:00",2074,4.460406,"NAN","NAN","NAN","NAN","NAN",1.669,1.546,144.4,143.4,22.89,21.18,0.254
"2023-12-18 18:45:00",2075,3.324404,"NAN","NAN","NAN","NAN","NAN",1.257,0.803,178.3,176.7,51.51,45.38,0
"2023-12-18 18:50:00",2076,1.573018,"NAN","NAN","NAN","NAN","NAN",0.86,0.666,191.5,185.3,33,31.34,0
"2023-12-18 18:55:00",2077,0.780108,"NAN","NAN","NAN","NAN","NAN",1.538,1.287,153.6,154,37.31,30.65,0
"2023-12-18 19:00:00",2078,0.4207454,"NAN","NAN","NAN","NAN","NAN",1.596,1.397,152.7,151,33.06,27.9,0
"2023-12-18 19:05:00",2079,0.2806122,"NAN","NAN","NAN","NAN","NAN",1.978,1.847,148.4,146,23.02,20.81,0
"2023-12-18 19:10:00",2080,0.1813769,"NAN","NAN","NAN","NAN","NAN",1.079,0.658,167.4,165.3,54.75,45.43,0
"2023-12-18 19:15:00",2081,0.1524289,"NAN","NAN","NAN","NAN","NAN",1.364,1.063,181.6,167.8,43.81,34.47,0
"2023-12-18 19:20:00",2082,0.1404491,"NAN","NAN","NAN","NAN","NAN",1.09,0.718,171.6,166.5,49.47,40.99,0
"2023-12-18 19:25:00",2083,0.1424875,"NAN","NAN","NAN","NAN","NAN",1.598,1.363,165.7,162.9,33.78,29.07,0
"2023-12-18 19:30:00",2084,0.1341672,"NAN","NAN","NAN","NAN","NAN",1.254,1.063,171.6,167.8,29.94,28.75,0
"2023-12-18 19:35:00",2085,0.1342149,"NAN","NAN","NAN","NAN","NAN",0.666,0.337,197.8,192.3,48.52,43.38,0
