,Month,Total_flow,Baseflow,Runoff,BF:TF,Site
9,1,5.766702644482556,4.410199063025612,1.3249616756620108,0.7647696326505036,Malota
10,2,7.240370378172421,4.20586145869187,3.079176030426882,0.5808903742509224,Malota
11,3,6.424901527611885,5.044049433677342,1.3809228503361353,0.785078092169951,Malota
0,4,9.845614009128248,5.244761119363298,4.819280754767343,0.5327002576477889,Malota
1,5,13.41920781843138,4.317332268999052,9.109192238101695,0.32172780445870763,Malota
2,6,5.834342860636095,4.562453187753553,1.274609256339083,0.7819994979273684,Malota
3,7,6.832507601777752,5.118799973603701,1.7196756565992024,0.7491832094371675,Malota
4,8,7.33948022952832,5.820150301365738,1.5316779034042272,0.7929921628441768,Malota
5,9,7.0510172409046685,5.873462910194551,1.1688374179464909,0.8329951139703874,Malota
6,10,7.078945232577936,4.6978312892111775,2.4178337039304103,0.6636343600443948,Malota
7,11,6.3134072229734635,4.482547259697808,1.845920770205369,0.7100044558169077,Malota
8,12,8.20549852244414,4.487976156157884,3.6953006348182194,0.5469474089699876,Malota
