,Month,Total_flow,Baseflow,Runoff,BF:TF,Site
10,1,8.025655882795947,1.1922420667161113,6.259307686872657,0.14855384832432694,Leone
11,2,17.23500541286319,2.7320440439250064,13.445645688838297,0.1585171561295809,Leone
0,3,3.629376484636656,1.4609923354123988,1.5522490720124176,0.4025463716968623,Leone
1,4,9.119986627837342,2.0937581385856343,6.64871736585695,0.22957907988535453,Leone
2,5,11.247466049069713,3.54867063867335,6.779578285856505,0.3155084552548495,Leone
3,6,3.4284123090977845,0.7703056447835248,2.464584471592292,0.22468290722775908,Leone
4,7,4.5608768938836315,0.6518456590403445,3.763887707678961,0.14292112552182734,Leone
5,8,4.303015025045978,0.40017398360977047,3.8839724619605787,0.09299850948242845,Leone
6,9,4.993268603782194,0.7366752916056118,3.9533720061357966,0.1475336798520334,Leone
7,10,5.461374769082219,0.9821601396481583,3.1798628384448744,0.1798375283103323,Leone
8,11,7.3953070343753495,1.2065761731642966,4.708261871067022,0.1631543041493491,Leone
9,12,6.845017298925179,1.352527146354115,4.685508812820889,0.19759294787560172,Leone
