,Month,Total_flow,Baseflow,Runoff,BF:TF,Site
9,1,4.6605489611361595,1.457914374133049,3.2052385768693057,0.312820310716709,Afono
10,2,8.691620591515942,1.2199369436700833,7.481536139253533,0.1403578228967895,Afono
11,3,1.4582249704467312,0.5953978620358178,0.8806160811631237,0.4083031590478224,Afono
0,4,2.211139420358159,0.33643603639067293,2.0652778377785097,0.15215505331462872,Afono
1,5,5.587506394273827,0.45120108705480594,5.136488657808519,0.08075177999209175,Afono
2,6,0.8400631897697532,0.2430772311326564,0.5973523488727299,0.28935588904839366,Afono
3,7,0.7084774091783379,0.13766488259033574,0.5714995851903908,0.1943108994117309,Afono
4,8,1.6960105680391024,0.17075305098530327,1.5258149816668118,0.10067923761980148,Afono
5,9,0.6480658722131228,0.12461945445407976,0.5238802645009828,0.19229442530048463,Afono
6,10,3.5809449642901514,0.5182357565213573,3.0665848464321837,0.14472039131829742,Afono
7,11,3.824237240067144,0.7458874108149731,3.0917652576047745,0.19504213886110194,Afono
8,12,5.135601878695691,1.2332889409142225,3.9043232846572318,0.24014496646057107,Afono
