,Month,Total_flow,Baseflow,Runoff,BF:TF,Site
10,1,6.713632526992735,3.2947723266308766,3.8260927182988116,0.4907585146169323,Fagaalu
11,2,17.576297706812383,3.5395553881643114,14.038356145990301,0.20138230742373112,Fagaalu
0,3,5.696758078756841,3.1109053914137346,2.1932310373327617,0.5460834650876737,Fagaalu
1,4,11.812052063822934,2.625910902172826,7.516660000986388,0.22230776566040278,Fagaalu
2,5,9.639804797512666,2.0647931284157393,7.270154365489053,0.2141944958209644,Fagaalu
3,6,3.4254513549314174,1.843992674325878,1.3559064948986923,0.5383210804238081,Fagaalu
4,7,4.297368296452406,1.7461873820932194,2.35148737837591,0.40633877797598694,Fagaalu
5,8,4.830880338324,1.6971993219674675,2.955266154842155,0.35132298941527595,Fagaalu
6,9,3.9862264771311353,1.7172995228472832,2.083693966325731,0.4308083177660327,Fagaalu
7,10,7.070239079114916,2.119419919184977,4.629464905489002,0.2997663721790714,Fagaalu
8,11,6.191175209339921,2.5712996424626073,4.029218074410605,0.4153168914657076,Fagaalu
9,12,7.937648665796843,3.5554674890266162,4.845175176284099,0.44792452257896587,Fagaalu
