,Month,Total_flow,Baseflow,Runoff,BF:TF,Site
10,1,5.251252785000386,1.9585413490775803,3.294740427374722,0.3729664956659359,Fagasa
11,2,9.08740741455207,2.4611472451207796,6.6282205256742,0.2708305166531474,Fagasa
0,3,3.6278687289648346,2.7190271296194983,0.9721019721606159,0.7494833282998467,Fagasa
1,4,6.29470379953029,2.5130633812195375,3.8442606735021267,0.3992345726270809,Fagasa
2,5,4.9679418141251475,2.2126875341361947,2.7770652280767485,0.445393206467304,Fagasa
3,6,2.194484104426749,1.4410938489778302,0.7571319960428274,0.6566891261918153,Fagasa
4,7,2.7380956743378038,1.4284595752285414,1.310448514457651,0.521698196529969,Fagasa
5,8,2.980811092273772,1.5314120763188213,1.4501425183439842,0.5137568362813141,Fagasa
6,9,2.8394314643561134,1.7191032939209319,1.1243308377388734,0.6054392632825057,Fagasa
7,10,4.505027926534813,1.778220542150922,2.7270897557884135,0.3947190941208432,Fagasa
8,11,3.043364220516638,1.4853943844230593,1.56643799042419,0.48807644330224154,Fagasa
9,12,2.9221072918793087,1.7181217582165635,1.2136336092546207,0.5879735364239757,Fagasa
