,Month,Total_flow,Baseflow,Runoff,BF:TF,Site
10,1,6.050439461208822,2.7040051011427226,4.034756588880967,0.4469105291407192,Nuuuli
11,2,10.706014205859196,2.695710049606388,8.99894424456278,0.25179399146799913,Nuuuli
0,3,4.818252180822194,4.0482256688457445,1.5550618690398208,0.8401855106211874,Nuuuli
1,4,9.243716643498118,3.3311669898376057,6.959030883219664,0.360370954488387,Nuuuli
2,5,7.672512970345901,3.451739836823336,5.67412364211103,0.4498838711859122,Nuuuli
3,6,4.168797810292684,3.9888007172269706,1.974225488641539,0.9568227817090807,Nuuuli
4,7,4.80433549073071,4.293667642012166,2.524055407669523,0.8937068716987384,Nuuuli
5,8,5.148368723072046,4.390847067977893,3.053250286465454,0.8528618100526921,Nuuuli
6,9,4.588992416018497,4.638474988240662,2.468899974317442,1.010782883852551,Nuuuli
7,10,6.805421575605257,5.081128285848903,4.38065624551946,0.7466294673151092,Nuuuli
8,11,8.714296193750222,5.144014515471275,3.9253219268617143,0.5902960378097424,Nuuuli
9,12,7.806723508933243,3.7836006413922574,4.102897089444109,0.4846592347048898,Nuuuli
