,Month,Total_flow,Baseflow,Runoff,BF:TF,Site
10,1,5.582529607433153,1.8336971875450405,3.7551587206784984,0.32847066052340645,Vaipito
11,2,13.64575690586459,2.81666369580281,10.867836917832522,0.20641315210534653,Vaipito
0,3,3.069938501025778,1.9396860826793936,1.1765202527052174,0.6318322279196388,Vaipito
1,4,8.818258431309113,2.0230676046744156,7.153302354654714,0.22941804443965264,Vaipito
2,5,7.61580991313973,2.1213473518565613,5.5227642326471456,0.2785452074107775,Vaipito
3,6,2.4641088774085342,1.3178737289153535,1.1487223479829416,0.5348277184494141,Vaipito
4,7,2.8633642533799017,1.3156825311733573,1.5502031086025778,0.459488355217235,Vaipito
5,8,3.468657357636066,1.2744283424942604,2.194577899994343,0.3674125781517952,Vaipito
6,9,2.563585117127391,1.2663432831925232,1.2994260954271726,0.49397356644491525,Vaipito
7,10,5.591765268620892,1.542379639080883,4.049914072580444,0.27583054098071663,Vaipito
8,11,4.694937978936571,1.5005037455224932,3.200303863966539,0.31960033386050507,Vaipito
9,12,4.685473585477554,1.8475582594174236,2.8395556772969863,0.39431622560926594,Vaipito
