,Month,Total_flow,Baseflow,Runoff,BF:TF,Site
9,1,1.2755354370739815,0.7028512435232415,0.5742291768004364,0.5510244741890897,Fagaitua
10,2,2.1237409637517066,0.768124483207778,1.3557778748517255,0.36168463871923595,Fagaitua
11,3,1.2239242098150402,0.8909387585379104,0.3346679766638806,0.7279362164692773,Fagaitua
0,4,1.229662316624697,0.650719191481139,0.6583740720312459,0.5291852752447515,Fagaitua
1,5,1.227315979497331,0.4975231618907202,0.7371804691112829,0.40537495657352207,Fagaitua
2,6,0.27939335354695033,0.2106898353194752,0.08189804494481197,0.7540975210924982,Fagaitua
3,7,0.3164069927891204,0.17504363554504074,0.1414871286333921,0.5532230308882718,Fagaitua
4,8,0.5975025450716086,0.16085166173506185,0.43670383434418863,0.2692066553721279,Fagaitua
5,9,0.35840074646399744,0.16315303555533026,0.1955393704990295,0.4552251555416878,Fagaitua
6,10,0.8568076176762046,0.26117603989964777,0.5976947197667509,0.30482460065889444,Fagaitua
7,11,1.283457848567555,0.4567250720379675,0.8281952070991139,0.35585513972874955,Fagaitua
8,12,1.500095036702232,0.6037512775144505,0.897737322145326,0.40247535172286203,Fagaitua
